id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
4a4d23e85b,86,4,15.60999965667724,1,3,3,133,Recent Passenger
4a622aa9fc,90,5,16.72999954223632,2,3,3,233,Other
4a62a2be2f,86,2,6.61999988555908,1,4,4,144,Recent Passenger
4a6cfddf59,110,1,1.75,4,4,4,444,Lost Cheap Passenger
4a6fc0ce98,88,5,19.239999771118157,2,3,3,233,Other
4a7195ce43,89,1,1.75,2,4,4,244,Other
4a7e0d6367,107,1,3.8699998855590803,4,4,4,444,Lost Cheap Passenger
4a9e15345e,86,7,21.85999965667724,1,2,2,122,Recent Passenger
4aa6c7ea50,94,14,34.729999542236314,3,1,2,312,Loyal Passenger
4aaefd9f6b,89,4,10.109999656677239,2,3,3,233,Other
4abba5a2ae,115,2,9.869999885559078,4,4,3,443,Other
4abf35f998,104,3,12.11999988555908,4,3,3,433,Other
4acb88590c,90,13,38.84999954700469,2,2,2,222,Other
4ad5e57975,89,10,26.839999198913556,2,2,2,222,Other
4ae28f64b6,86,95,313.5399953126907,1,1,1,111,Best Passenger
4ae363db96,86,12,42.33999919891356,1,2,2,122,Recent Passenger
4ae3830b83,90,25,85.69999885559079,2,1,1,211,Loyal Passenger
4ae87ca13e,89,33,117.80999851226804,2,1,1,211,Loyal Passenger
4aea86f6d7,88,47,158.86999714374537,2,1,1,211,Loyal Passenger
4aeacb4f82,90,2,5.11999988555908,2,4,4,244,Other
4af2963a19,89,28,83.70999920368195,2,1,1,211,Loyal Passenger
4afd6d9735,87,2,4.61999988555908,1,4,4,144,Recent Passenger
4afd98fc70,89,3,10.11999988555908,2,3,3,233,Other
4afd9ed6f2,99,4,14.239999771118159,4,3,3,433,Other
4afe9d77d0,115,1,3.8699998855590803,4,4,4,444,Lost Cheap Passenger
4b14321ded,99,1,3.75,4,4,4,444,Lost Cheap Passenger
4b14a2d1ad,89,13,37.839999437332146,2,2,2,222,Other
4b23bc2792,92,2,4.86999988555908,3,4,4,344,Other
4b25103816,91,18,64.45999908447264,3,1,1,311,Almost Lost Passenger
4b2ef22640,88,11,45.20999908447264,2,2,1,221,Big Spenders
4b316a7c50,100,9,37.96999931335448,4,2,2,422,Other
4b3d9dae58,93,7,17.72999954223632,3,2,3,323,Other
4b3fafb0e3,103,1,7.619999885559079,4,4,4,444,Lost Cheap Passenger
4b442637d2,86,14,49.58999931812286,1,1,1,111,Best Passenger
4b5ebd57df,97,1,6.369999885559079,4,4,4,444,Lost Cheap Passenger
4b777a54f7,92,6,21.85999965667724,3,3,2,332,Other
4b792f1cae,93,3,18.98999977111818,3,3,3,333,Other
4b82a4d845,86,15,59.57999897003173,1,1,1,111,Best Passenger
4b831d0bbf,86,21,90.6999988555908,1,1,1,111,Best Passenger
4b89ece4aa,89,53,232.74999737739557,2,1,1,211,Loyal Passenger
4b8caac50b,92,24,78.69999885559079,3,1,1,311,Almost Lost Passenger
4b9345add8,104,1,5.0,4,4,4,444,Lost Cheap Passenger
4b96076c5c,88,10,28.339999437332146,2,2,2,222,Other
4ba6ed12fe,87,51,177.63999748229975,1,1,1,111,Best Passenger
4baf13440a,103,1,2.25,4,4,4,444,Lost Cheap Passenger
4baf2fd627,90,17,44.58999931812285,2,1,1,211,Loyal Passenger
4bb9fdb3b1,90,3,5.25,2,3,4,234,Other
4bbb30fcd8,87,5,14.0,1,3,3,133,Recent Passenger
4bc7642890,94,8,39.099999427795396,3,2,2,322,Other
4bca089c92,93,11,42.219999313354485,3,2,2,322,Other
4bcba33ab6,86,9,24.479999661445607,1,2,2,122,Recent Passenger
4bd1d5c245,87,3,12.609999656677239,1,3,3,133,Recent Passenger
4bd64f651a,89,9,15.99000000953674,2,2,3,223,Other
4bd741c118,87,10,39.22999966144562,1,2,2,122,Recent Passenger
4bd9e25388,86,21,63.58999919891356,1,1,1,111,Best Passenger
4bebcb7f98,86,8,15.60999989509582,1,2,3,123,Recent Passenger
4befff45fc,88,5,12.48999977111816,2,3,3,233,Other
4c00c44d66,96,6,27.619999885559082,3,3,2,332,Other
4c0248e66f,91,5,14.36999988555908,3,3,3,333,Other
4c12527645,88,8,27.72999954223632,2,2,2,222,Other
4c1bcadd88,99,1,3.0,4,4,4,444,Lost Cheap Passenger
4c226f0558,90,31,81.92999887466429,2,1,1,211,Loyal Passenger
4c3043bfdc,98,9,29.85999965667724,4,2,2,422,Other
4c3885d39e,107,1,3.3699998855590803,4,4,4,444,Lost Cheap Passenger
4c3ba4498e,86,25,65.5599988698959,1,1,1,111,Best Passenger
4c5333d8e8,88,21,63.079998970031724,2,1,1,211,Loyal Passenger
4c54dc7455,86,19,78.33999919891357,1,1,1,111,Best Passenger
4c555e11bf,88,33,90.68999874591825,2,1,1,211,Loyal Passenger
4c5d7b3d22,89,8,40.479999542236314,2,2,2,222,Other
4c5e14255b,87,19,41.93999886512754,1,1,2,112,Recent Passenger
4c607f1048,86,10,25.71999943256377,1,2,2,122,Recent Passenger
4c61f5f4b8,90,8,30.10999965667724,2,2,2,222,Other
