id_passenger,TotalCompleteRides
f311277323,27
bb2c9c34fb,25
aea62ddd68,23
8c0975b5ed,23
d3a82a30c7,23
de89c3c086,22
26fd359f45,22
0aba48ec25,21
99579d2b70,21
73377d5d19,20
afa7e99cae,20
c0a76fc934,20
09aa3abae2,20
0097aa834c,20
1e13c3b8d8,20
2257e04df0,20
3a62c118ae,20
3b79922588,20
40cb0db39b,20
61643d9f49,20
fb28b29e4c,20
24f417f14c,19
8435e7ef61,19
c65367c64f,18
b10321915e,18
2039e69f54,18
00d0b4bbd9,18
690d7b0d43,18
56a8470c29,18
391caa5f3d,17
003f6427ae,17
0dbbeb0ede,17
1995a2f0fd,17
b2457545ac,17
fa4463cb71,17
db735dcd3c,17
d1d0aaef43,16
a58e2244eb,16
c82287f827,16
7b6a7f5c94,16
95e2f2c856,16
16ed24871c,16
39e837c925,16
4ba6ed12fe,16
4c71bf9b80,16
5c9c22961d,16
5cab377195,16
6aa82b93fd,16
66acbc3e78,15
57b16d6d23,15
51ced53c43,15
48a8f2b007,15
132637f2a7,15
19a43cabc8,15
07f1baf1bd,15
205dc9ab0a,15
1cf1fde2c0,15
2c52c1bbaf,15
93fa6226ca,15
8d7fa15aa3,15
861d666ae4,15
8a2d56266b,15
7d65138501,15
71d5b982e4,15
a35ce0399f,15
ac631896d0,15
d8250cf69d,15
e22cefd0cc,15
fd98551231,15
f3199c6241,15
f078e9865c,14
e4b2ae5ecd,14
e7840938d1,14
dd6533348e,14
d67bf96794,14
adbd88a1fd,14
cf9973d9fe,14
c285cd8ff8,14
b844f49ef2,14
73505d3e30,14
74fd7576c0,14
6ef1c16f1c,14
7d39eb82bf,14
89f474daba,14
8756683e0c,14
9000056534,14
93852b3408,14
993407ac59,14
9d6cd50cce,14
35458c64ce,14
26b7fe2bda,14
0975c20e00,14
0106b43efa,14
0485d330fc,14
16b3a7230a,14
4ae28f64b6,14
4f6caa834d,14
3af1d3591a,14
38db0434ca,14
617985eacb,14
61a845fe07,14
676c69d643,13
534d3e746a,13
53db918035,13
4f6bdab6e5,13
4fb25c08ff,13
4d3803ad25,13
4ed2e3624d,13
48c4c973f3,13
46eb346fc7,13
053b3e2a04,13
00b7b40b9b,13
0002a00d07,13
0c5edbc9df,13
1f2e54daac,13
31354928ce,13
29e4990ae4,13
917b1cb1a7,13
8df2c9a979,13
8d3ba434cc,13
7e91661ecd,13
812c3bf5b8,13
77091b4d74,13
7724fc36d3,13
73c2ccb642,13
7429c3c7df,13
b9f1d219ea,13
beadd2e7fc,13
a4dbfc99d0,13
a795bb7973,13
aaa1055474,13
d56032eeeb,13
ea48097a6f,13
dfa58e6811,13
e0db6fea02,13
f6c390b616,13
f714d7478c,12
f005ef8d18,12
fb8c5b0064,12
df654f7c60,12
d3b59422f3,12
dad9f50c4f,12
a2d76f3932,12
ab55fb805c,12
b743cffd3d,12
c45fc0201f,12
bac04b8392,12
d03be4497d,12
725c729b4b,12
75634c0058,12
8d29b93c59,12
8eec850c8c,12
89b4731ea9,12
9c1abcce13,12
3209e9753e,12
206e80bf85,12
0a60453c89,12
049c898ca9,12
05febdff7d,12
06d3f26d5a,12
17a1e8c5b8,12
1bcc6a77dc,12
4352c836cb,12
4f0257aaf9,12
4cd0508749,12
384f7638fe,12
376d0b8dbf,12
3d6a938b74,12
3de97ebd28,12
55da39c0f8,12
57c64f9670,12
6916a9dbd0,12
6846c65477,12
5e629c86e5,12
642412dde6,12
6420e0fdfe,11
5ec4ae1917,11
5582c97820,11
3c53f123b6,11
40ffd1846b,11
4c3ba4498e,11
4b89ece4aa,11
4ee5b034b9,11
43638bc8f3,11
1341078740,11
0448e79d3c,11
003d0bbc9c,11
0bc547d1ef,11
27ea96722c,11
2332ab2595,11
31916b87e1,11
345c43a3d7,11
290023f323,11
2e89d16af6,11
92986b1fc1,11
95fc7c0274,11
968be9d221,11
8a1aef54dd,11
84c37c7d90,11
8b595f5521,11
7261dfb948,11
6f485e391f,11
6e22236598,11
7dda990a40,11
7ca4abf798,11
cb59d603d4,11
cba5cfb644,11
cdb13fcc9f,11
c99f7fe4b0,11
caadb2b606,11
bab5246a0a,11
bd2bfbed96,11
c40eedafd8,11
c3b0b609a3,11
b72cca08af,11
b73f380401,11
b49b11f54c,11
b1f6050c65,11
b324122795,11
aac9b1af53,11
a8a4ee31af,11
a8fa407caa,11
a925cb73c8,11
d83b9b6888,11
dd5610342b,11
dad3d6a7d5,11
d3ad4d9c73,11
d2be63d41e,11
d4fa0c1529,11
dfb16a402e,11
dfeeb03da8,11
e16406f10d,11
e7c0694f96,11
e761f22410,11
f056618fda,11
f203b6f14b,11
ec864ce7d9,11
eca9e6a7a4,11
f67c1f3984,11
f2b2d5eef0,11
f78a4b7993,10
fa41ace2f3,10
e68f26986e,10
e325701d75,10
e4242f66c8,10
df9067df42,10
d4b58998c5,10
d4d9ff968a,10
d5d1c1b880,10
d37dcde070,10
d247f6274c,10
db61414d37,10
dc86e193ba,10
9e4f7808f5,10
ad03916b12,10
bab9583d70,10
b8024d44e1,10
b7f81018bb,10
b871264b0b,10
c9209c54df,10
c97f512181,10
d07413a368,10
ce37140e37,10
7be7b9a473,10
7e7f1d7ffc,10
7a2f36f103,10
7aa9bc18c9,10
8120ba816e,10
8091fc2e6b,10
7fda9e7ab2,10
71d7cbf0e4,10
77090c3d67,10
8e69e7ead2,10
8fa8bfdb65,10
86d1d6db50,10
87eb6da74f,10
968b02e35b,10
96116e7d45,10
9bfd682fe9,10
9c387439d3,10
9b26d859c5,10
9c6edbe191,10
9a91e3fed0,10
2d131e9ac7,10
3322e2c372,10
33c7ea0a29,10
2527bf1290,10
292493de3f,10
21864e56a7,10
0b9de4989f,10
0ae060355f,10
08f6ce6848,10
080c40c1da,10
014ea308b1,10
01ca3173aa,10
10f301c2c1,10
1130f9e552,10
1b0d56f4e4,10
42f5973d91,10
47f1611dc2,10
421fc4279f,10
3f5ff3af41,10
3c35aa79b9,10
3ecccec6b6,10
39ebaddbe9,10
3a5716029a,10
554a3c29fc,10
53b32e9812,10
5916ae9108,10
597f875d07,10
5e76d7cc03,10
5f97426e3b,10
661e6ae9f5,10
665fc3af27,9
6a11ebca11,9
60c56ead6d,9
5eb09c4364,9
5ee4156ac9,9
62d29ccc4d,9
5a3c20b970,9
580a038770,9
51e4039a01,9
5290f35853,9
56e8a49777,9
382f67b8c0,9
3f4063dc5d,9
471999d7d9,9
49cf586bfe,9
451071a7a7,9
4f2470cd2d,9
4baf2fd627,9
4c226f0558,9
4ceb5e1d26,9
1ca450d2fe,9
11b536d1a7,9
1229af264f,9
12c8b7a9b9,9
12fa8563e3,9
13044fe83b,9
13ce31d6e0,9
03dd470ba1,9
0705751aef,9
0726b822fb,9
067ee7a8a4,9
05c2ec5862,9
0849ed4999,9
0cc733c4e8,9
26ec4bfefb,9
2379d65287,9
33ab9afbfa,9
32fff57197,9
