WeekOfYear,DayOfWeek,DailyRequests
10,Monday,3964
10,Tuesday,4070
10,Wednesday,4551
10,Thursday,4545
10,Friday,4729
10,Saturday,4625
10,Sunday,4428
11,Monday,3552
11,Tuesday,3582
11,Wednesday,4045
11,Thursday,4192
11,Friday,4832
11,Saturday,4853
11,Sunday,4184
